epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2009,5.44929,26.7461,2.12774,0.00226,0.2037,0.00192,0.0004,4.17778,3.45529,1.36005,0.0673367,0.000329932,0.000329932
2,98.1233,3.80145,3.33272,1.22104,0.2561,0.28175,0.16221,0.04134,3.06789,2.17292,1.05136,0.0343302,0.000656699,0.000656699
3,147.971,2.92274,2.2348,1.00988,0.50416,0.44577,0.42444,0.11461,2.71363,1.68485,0.97389,0.001317,0.000976866,0.000976866
4,197.765,2.40672,1.64592,0.92134,0.56432,0.49344,0.48075,0.11562,2.83915,1.55237,0.98019,0.0009703,0.0009703,0.0009703
5,247.579,2.12812,1.37362,0.88915,0.6874,0.56137,0.58507,0.13621,2.84813,1.49672,0.98853,0.0009604,0.0009604,0.0009604
6,297.384,1.97018,1.24332,0.87639,0.65983,0.6455,0.59575,0.17317,2.74259,1.42806,0.96654,0.0009505,0.0009505,0.0009505
7,347.202,1.83743,1.1302,0.85708,0.81667,0.68783,0.72301,0.23469,2.41671,1.35949,0.94246,0.0009406,0.0009406,0.0009406
8,397.023,1.73736,1.05169,0.85055,0.82831,0.75397,0.78067,0.25909,2.37412,1.19936,0.92786,0.0009307,0.0009307,0.0009307
9,446.846,1.69052,1.01969,0.84918,0.78984,0.68122,0.7346,0.20642,2.64968,1.38593,0.96355,0.0009208,0.0009208,0.0009208
10,495.291,1.64488,0.9638,0.84367,0.81097,0.71429,0.77445,0.22964,2.67827,1.37456,0.97416,0.0009109,0.0009109,0.0009109
11,543.767,1.5668,0.89104,0.83803,0.67103,0.53175,0.55393,0.12087,3.12391,1.40321,1.02255,0.000901,0.000901,0.000901
12,592.258,1.54562,0.88218,0.83441,0.77113,0.65476,0.7117,0.18106,2.77837,1.38941,0.97474,0.0008911,0.0008911,0.0008911
13,640.725,1.45675,0.8316,0.82403,0.81948,0.69048,0.75586,0.2088,2.70317,1.34815,0.96652,0.0008812,0.0008812,0.0008812
14,689.184,1.47021,0.80956,0.8312,0.80453,0.75674,0.75449,0.25057,2.53228,1.31497,0.9438,0.0008713,0.0008713,0.0008713
15,737.636,1.43148,0.81032,0.82723,0.82428,0.69048,0.72955,0.18547,2.98062,1.3225,1.00772,0.0008614,0.0008614,0.0008614
16,786.081,1.37906,0.76061,0.8153,0.82899,0.73096,0.80023,0.26498,2.61858,1.27688,0.96177,0.0008515,0.0008515,0.0008515
17,835.818,1.34612,0.73996,0.82114,0.84292,0.76587,0.82664,0.26381,2.53697,1.27844,0.94853,0.0008416,0.0008416,0.0008416
18,885.613,1.3628,0.74685,0.82192,0.84977,0.81557,0.87877,0.31974,2.35455,1.04751,0.92494,0.0008317,0.0008317,0.0008317
19,935.405,1.33037,0.73919,0.82011,0.87764,0.71958,0.82013,0.21591,2.78562,1.27434,0.97072,0.0008218,0.0008218,0.0008218
20,983.843,1.30713,0.72305,0.81208,0.82435,0.7822,0.82239,0.26673,2.56295,1.22506,0.94806,0.0008119,0.0008119,0.0008119
21,1032.27,1.27139,0.68848,0.80951,0.84603,0.76323,0.80938,0.23127,2.68674,1.24026,0.96597,0.000802,0.000802,0.000802
22,1080.73,1.27522,0.69797,0.80655,0.8685,0.82672,0.88371,0.32017,2.41966,1.16165,0.9339,0.0007921,0.0007921,0.0007921
23,1130.47,1.23823,0.6661,0.80777,0.79073,0.71958,0.77033,0.22242,2.80924,1.36955,0.98702,0.0007822,0.0007822,0.0007822
24,1178.94,1.22355,0.66352,0.80692,0.8583,0.82523,0.87104,0.33479,2.32303,1.10851,0.9251,0.0007723,0.0007723,0.0007723
25,1228.74,1.19734,0.63671,0.80799,0.84041,0.77646,0.8323,0.287,2.53214,1.2928,0.94942,0.0007624,0.0007624,0.0007624
26,1277.17,1.17777,0.62985,0.80276,0.83509,0.79101,0.8457,0.30504,2.42854,1.19479,0.93388,0.0007525,0.0007525,0.0007525
27,1325.6,1.17369,0.62981,0.803,0.85533,0.78204,0.84493,0.29128,2.56718,1.25821,0.95181,0.0007426,0.0007426,0.0007426
28,1374.09,1.13855,0.61289,0.79899,0.86744,0.81365,0.8744,0.30035,2.50318,1.12538,0.94551,0.0007327,0.0007327,0.0007327
29,1422.52,1.13553,0.60505,0.80063,0.86631,0.8373,0.89308,0.28864,2.56,1.2027,0.95084,0.0007228,0.0007228,0.0007228
30,1470.98,1.12536,0.59034,0.80135,0.87902,0.82655,0.8788,0.30299,2.53304,1.12162,0.94686,0.0007129,0.0007129,0.0007129
31,1519.4,1.12231,0.58623,0.80178,0.85541,0.80556,0.86194,0.3197,2.49789,1.23587,0.942,0.000703,0.000703,0.000703
32,1567.86,1.11398,0.57644,0.80338,0.88091,0.81213,0.88358,0.30322,2.57696,1.09521,0.95206,0.0006931,0.0006931,0.0006931
33,1616.3,1.0976,0.57793,0.8033,0.89389,0.82461,0.90205,0.35944,2.29427,1.16058,0.91558,0.0006832,0.0006832,0.0006832
34,1666.08,1.0658,0.55503,0.80259,0.88667,0.83822,0.88996,0.3585,2.33054,1.18611,0.92215,0.0006733,0.0006733,0.0006733
35,1714.53,1.07271,0.56946,0.80227,0.88357,0.77296,0.85253,0.25319,2.74517,1.22793,0.97574,0.0006634,0.0006634,0.0006634
36,1762.92,1.05555,0.55496,0.79419,0.87455,0.84788,0.90597,0.38647,2.19268,1.13617,0.90643,0.0006535,0.0006535,0.0006535
37,1812.66,1.04311,0.54115,0.79794,0.85409,0.80423,0.86158,0.30719,2.50851,1.24827,0.94337,0.0006436,0.0006436,0.0006436
38,1861.06,1.02121,0.52897,0.80291,0.85569,0.82672,0.87004,0.32686,2.46569,1.16519,0.93302,0.0006337,0.0006337,0.0006337
39,1909.5,1.02125,0.52902,0.79797,0.88264,0.81217,0.85773,0.30099,2.57025,1.16115,0.94958,0.0006238,0.0006238,0.0006238
40,1957.92,1.01969,0.53138,0.79317,0.87549,0.83862,0.89784,0.34287,2.36893,1.11157,0.92951,0.0006139,0.0006139,0.0006139
41,2006.37,1.02173,0.53922,0.79207,0.84529,0.78054,0.82402,0.2519,2.70527,1.27142,0.9736,0.000604,0.000604,0.000604
42,2054.85,0.99156,0.52441,0.78832,0.87954,0.82094,0.87527,0.30654,2.58072,1.21626,0.95057,0.0005941,0.0005941,0.0005941
43,2103.26,1.01706,0.52554,0.79256,0.85417,0.82407,0.86591,0.3264,2.43822,1.22136,0.93199,0.0005842,0.0005842,0.0005842
44,2151.67,0.96855,0.51162,0.78654,0.86461,0.84472,0.88688,0.3482,2.34425,1.12352,0.92689,0.0005743,0.0005743,0.0005743
45,2200.09,0.94943,0.49195,0.79143,0.8855,0.84127,0.89567,0.35275,2.35295,1.13811,0.9223,0.0005644,0.0005644,0.0005644
46,2248.5,0.95036,0.49547,0.7943,0.88516,0.83333,0.86902,0.32922,2.46795,1.20759,0.93576,0.0005545,0.0005545,0.0005545
47,2296.92,0.92363,0.47765,0.78701,0.86442,0.8373,0.89157,0.31174,2.5922,1.2119,0.94859,0.0005446,0.0005446,0.0005446
48,2345.35,0.94284,0.49184,0.79175,0.86873,0.83159,0.88819,0.36523,2.32445,1.20941,0.92117,0.0005347,0.0005347,0.0005347
49,2393.78,0.94631,0.48722,0.79078,0.87791,0.82672,0.86775,0.30869,2.55287,1.15032,0.94449,0.0005248,0.0005248,0.0005248
50,2442.22,0.92017,0.47568,0.78775,0.86412,0.84118,0.88713,0.33578,2.43885,1.13802,0.93375,0.0005149,0.0005149,0.0005149
51,2490.61,0.92367,0.47754,0.78833,0.87239,0.82407,0.87726,0.33551,2.47258,1.28703,0.9367,0.000505,0.000505,0.000505
52,2539.01,0.89121,0.46744,0.78608,0.88396,0.81616,0.8787,0.31293,2.52586,1.15926,0.9438,0.0004951,0.0004951,0.0004951
53,2587.42,0.90202,0.47568,0.79004,0.87451,0.82143,0.87319,0.30839,2.59394,1.23478,0.95067,0.0004852,0.0004852,0.0004852
54,2635.83,0.89868,0.45826,0.78832,0.88048,0.80876,0.85694,0.32537,2.4537,1.31012,0.93461,0.0004753,0.0004753,0.0004753
55,2684.2,0.88261,0.46655,0.78536,0.88219,0.8122,0.87619,0.32691,2.51521,1.31041,0.94311,0.0004654,0.0004654,0.0004654
56,2732.62,0.90258,0.46699,0.78721,0.87591,0.84031,0.88367,0.35263,2.33108,1.16961,0.92369,0.0004555,0.0004555,0.0004555
57,2781.02,0.8648,0.45494,0.78545,0.87655,0.80769,0.8621,0.3304,2.4561,1.2257,0.93479,0.0004456,0.0004456,0.0004456
58,2829.45,0.87447,0.4525,0.78892,0.88959,0.83069,0.88678,0.34258,2.40233,1.21001,0.92646,0.0004357,0.0004357,0.0004357
59,2877.83,0.84896,0.44046,0.7875,0.87685,0.83069,0.88611,0.35406,2.3842,1.23181,0.92844,0.0004258,0.0004258,0.0004258
60,2926.23,0.84772,0.43262,0.78769,0.88302,0.83875,0.88984,0.34561,2.44116,1.22046,0.93198,0.0004159,0.0004159,0.0004159
61,2974.63,0.83969,0.43079,0.78732,0.88246,0.82424,0.86991,0.33243,2.4643,1.22331,0.93644,0.000406,0.000406,0.000406
62,3023.06,0.83073,0.42364,0.78585,0.89521,0.83333,0.89331,0.33671,2.45818,1.19173,0.93702,0.0003961,0.0003961,0.0003961
63,3071.49,0.8061,0.40817,0.78329,0.8756,0.81929,0.88143,0.341,2.4416,1.19682,0.935,0.0003862,0.0003862,0.0003862
64,3119.9,0.82581,0.43186,0.7815,0.87688,0.81023,0.86806,0.33138,2.45676,1.27876,0.93784,0.0003763,0.0003763,0.0003763
65,3168.3,0.81713,0.426,0.78245,0.84634,0.83782,0.88071,0.32892,2.48685,1.13618,0.93983,0.0003664,0.0003664,0.0003664
66,3216.73,0.82007,0.4219,0.78384,0.90176,0.81217,0.88178,0.30993,2.55431,1.2029,0.94842,0.0003565,0.0003565,0.0003565
67,3265.21,0.79057,0.40422,0.78553,0.86422,0.86905,0.90266,0.35623,2.3421,1.07279,0.92177,0.0003466,0.0003466,0.0003466
68,3313.66,0.79825,0.41774,0.78417,0.87167,0.8545,0.90813,0.35058,2.42771,1.08226,0.9302,0.0003367,0.0003367,0.0003367
69,3362.08,0.79752,0.41137,0.78365,0.8691,0.84127,0.89361,0.3536,2.42942,1.12789,0.93147,0.0003268,0.0003268,0.0003268
70,3410.54,0.78308,0.40382,0.78085,0.86916,0.85053,0.90256,0.35697,2.37973,1.11507,0.9264,0.0003169,0.0003169,0.0003169
71,3458.99,0.78103,0.40104,0.78225,0.89285,0.84872,0.91325,0.38695,2.30566,1.10635,0.91539,0.000307,0.000307,0.000307
72,3508.75,0.78572,0.40547,0.77647,0.90123,0.83333,0.90233,0.36143,2.38378,1.15544,0.92465,0.0002971,0.0002971,0.0002971
73,3557.16,0.74936,0.39791,0.7738,0.89772,0.82937,0.89123,0.34727,2.44657,1.17409,0.93283,0.0002872,0.0002872,0.0002872
74,3605.57,0.75825,0.393,0.78052,0.8937,0.85632,0.89954,0.35773,2.36588,1.11372,0.92321,0.0002773,0.0002773,0.0002773
75,3653.98,0.75553,0.38458,0.77808,0.8756,0.85053,0.90593,0.35385,2.40545,1.11589,0.93084,0.0002674,0.0002674,0.0002674
76,3702.4,0.74027,0.38858,0.77685,0.89049,0.83897,0.89922,0.3443,2.46129,1.12967,0.9317,0.0002575,0.0002575,0.0002575
77,3750.82,0.74058,0.3853,0.78043,0.86727,0.85847,0.89888,0.34948,2.42274,1.11704,0.92835,0.0002476,0.0002476,0.0002476
78,3799.27,0.74313,0.38385,0.78072,0.87384,0.84392,0.89811,0.34884,2.40915,1.14118,0.92613,0.0002377,0.0002377,0.0002377
79,3847.69,0.72458,0.37508,0.77858,0.89285,0.82011,0.89035,0.35616,2.38853,1.13615,0.92657,0.0002278,0.0002278,0.0002278
80,3896.07,0.73666,0.3849,0.77967,0.89172,0.82672,0.89184,0.35017,2.40868,1.17478,0.92668,0.0002179,0.0002179,0.0002179
81,3944.53,0.71772,0.37759,0.78038,0.89392,0.82481,0.90135,0.36232,2.37773,1.161,0.9231,0.000208,0.000208,0.000208
82,3992.96,0.70534,0.3661,0.7775,0.90076,0.81481,0.89185,0.34579,2.45867,1.17507,0.93262,0.0001981,0.0001981,0.0001981
83,4041.38,0.703,0.36815,0.777,0.89371,0.83333,0.8961,0.34267,2.4546,1.19509,0.9326,0.0001882,0.0001882,0.0001882
84,4089.77,0.69304,0.3572,0.77721,0.88017,0.85979,0.90409,0.34487,2.44683,1.17236,0.92983,0.0001783,0.0001783,0.0001783
85,4138.18,0.70216,0.3575,0.78209,0.87672,0.85317,0.89989,0.34181,2.48262,1.19675,0.93645,0.0001684,0.0001684,0.0001684
86,4186.58,0.6955,0.36293,0.77516,0.87945,0.83862,0.88799,0.3359,2.48938,1.22001,0.93802,0.0001585,0.0001585,0.0001585
87,4234.99,0.69406,0.35322,0.78183,0.90454,0.83466,0.90498,0.34885,2.46321,1.2193,0.93286,0.0001486,0.0001486,0.0001486
88,4283.4,0.68355,0.35643,0.77612,0.9006,0.8254,0.89706,0.3348,2.51204,1.20791,0.94035,0.0001387,0.0001387,0.0001387
89,4331.81,0.67046,0.34352,0.77379,0.90326,0.8398,0.89761,0.34418,2.44978,1.2279,0.93436,0.0001288,0.0001288,0.0001288
90,4380.27,0.67579,0.34664,0.77468,0.90331,0.83995,0.90419,0.34951,2.44767,1.22664,0.93135,0.0001189,0.0001189,0.0001189
91,4430.49,0.64278,0.34509,0.77209,0.89038,0.83802,0.87165,0.31457,2.53642,1.16477,0.94578,0.000109,0.000109,0.000109
92,4479.03,0.63169,0.34451,0.77701,0.90361,0.83201,0.88783,0.32475,2.51818,1.13785,0.94162,9.91e-05,9.91e-05,9.91e-05
93,4527.5,0.60146,0.3154,0.7743,0.90041,0.83713,0.88753,0.32316,2.56948,1.19637,0.9468,8.92e-05,8.92e-05,8.92e-05
94,4575.95,0.59611,0.32204,0.77312,0.89622,0.83466,0.89378,0.33573,2.51919,1.15463,0.94097,7.93e-05,7.93e-05,7.93e-05
95,4624.42,0.57256,0.29797,0.77589,0.90903,0.83333,0.89635,0.33257,2.53111,1.15698,0.94295,6.94e-05,6.94e-05,6.94e-05
96,4672.89,0.57924,0.30281,0.77922,0.91335,0.8254,0.90255,0.34927,2.47006,1.14635,0.93614,5.95e-05,5.95e-05,5.95e-05
97,4721.38,0.55998,0.29519,0.77465,0.90308,0.83862,0.89998,0.34638,2.46326,1.13318,0.93371,4.96e-05,4.96e-05,4.96e-05
98,4769.86,0.56276,0.30072,0.76888,0.89752,0.8373,0.89751,0.34627,2.454,1.12866,0.93331,3.97e-05,3.97e-05,3.97e-05
99,4818.33,0.5661,0.29798,0.77714,0.89979,0.84331,0.90392,0.34984,2.4587,1.13753,0.93399,2.98e-05,2.98e-05,2.98e-05
100,4866.81,0.54545,0.2917,0.77771,0.89969,0.84237,0.89887,0.35181,2.45215,1.15302,0.93306,1.99e-05,1.99e-05,1.99e-05
